key              corpus     median      q25      q75      min      max     CV
t_cy             CT_TOP     0.6875   0.4097   0.8132   0.1507   0.8528   0.40  n=15
t_cy             CT_BOT     0.7007   0.2717   0.8208   0.0667   0.8875   0.57  n=10

t_left_in        ALL        0.0234   0.0133   0.2687   0.0023   0.4906   1.30  n=37
t_left_in        AUDIT      0.0328   0.0230   0.1020   0.0094   0.3703   1.28  n=12
t_left_in        CT         0.0172   0.0109   0.2891   0.0023   0.4906   1.30  n=25
t_left_in        CT_TOP     0.0148   0.0102   0.2918   0.0023   0.4906   1.34  n=15
t_left_in        CT_BOT     0.0406   0.0148   0.2207   0.0023   0.4102   1.22  n=10

t_right_in       ALL        0.2727   0.1227   0.3688   0.0070   0.7914   0.67  n=37
t_right_in       AUDIT      0.3184   0.1166   0.3861   0.0344   0.5367   0.60  n=12
t_right_in       CT         0.1984   0.1227   0.3508   0.0070   0.7914   0.69  n=25
t_right_in       CT_TOP     0.1922   0.1187   0.3117   0.0070   0.7914   0.85  n=15
t_right_in       CT_BOT     0.3090   0.1902   0.3629   0.0914   0.5227   0.46  n=10

t_top_in         ALL        0.1958   0.0528   0.6278   0.0000   0.7944   0.93  n=37
t_top_in         AUDIT      0.0639   0.0528   0.0917   0.0264   0.1986   0.64  n=12
t_top_in         CT         0.4917   0.0375   0.6681   0.0000   0.7944   0.70  n=25
t_top_in         CT_TOP     0.4917   0.1757   0.6375   0.0000   0.7444   0.62  n=15
t_top_in         CT_BOT     0.4396   0.0441   0.6872   0.0167   0.7944   0.81  n=10

t_bot_in         ALL        0.3931   0.0444   0.8056   0.0028   0.8972   0.85  n=37
t_bot_in         AUDIT      0.8243   0.7976   0.8455   0.2083   0.8972   0.28  n=12
t_bot_in         CT         0.0528   0.0389   0.4458   0.0028   0.8833   1.13  n=25
t_bot_in         CT_TOP     0.0528   0.0257   0.4118   0.0028   0.6986   1.09  n=15
t_bot_in         CT_BOT     0.0500   0.0434   0.5240   0.0194   0.8833   1.12  n=10

t_pitch          ALL        1.4947   1.2976   1.8037   0.6862   2.4141   0.29  n=21
t_pitch          AUDIT      1.4576   1.4566   1.4585   1.4557   1.4595   0.00  n=2
t_pitch          CT         1.5161   1.2370   1.8051   0.6862   2.4141   0.30  n=19
t_pitch          CT_TOP     1.4190   1.2179   1.8661   0.6862   2.4141   0.35  n=11
t_pitch          CT_BOT     1.5652   1.4151   1.7914   0.9394   2.1525   0.23  n=8

t_leftvar        ALL        0.0207   0.0021   0.0543   0.0000   0.2457   1.36  n=21
t_leftvar        AUDIT      0.0020   0.0020   0.0021   0.0019   0.0021   0.06  n=2
t_leftvar        CT         0.0244   0.0066   0.0891   0.0000   0.2457   1.26  n=19
t_leftvar        CT_TOP     0.0383   0.0083   0.1252   0.0000   0.2346   1.07  n=11
